hName,hGender,widowed,hClass,hOccupaton,hOccCat,hLocale,hActive,hID,hOMID,svName,svEthnicity,svEthID,svEthOMID,svGender,svAge,svActive,svID,svOMID,bName,bGender,bClass,bOcc,boccCat,bLocale,bActive,bID,bOMID,term,pL,pD,pF,pS,nurse,man.,age_man,actTitle,actDate,actYear,ActDescription,aa (Author),aaID,aaOMID,actArItem,aArItemID,ArItemOMID,rights,actID,actOMID
Francesco Foglietta,male,,artefices,,,,1395–1420,2adb6b4f-1903-4c62-83b1-f9f6b0b9ac90,37191,Erena,Bulgarian,d3b57a91-3e55-4d34-89b7-5db6e259c5cb,31541,female,,–1420,caf7d168-a81c-4e63-a12f-e599e55ebc35,37585,Margarita de Castro,female,artefices,,,,1395–1420,38f2dc9f-c50b-44c4-a353-8ee09640df26,37441,,,,,,,,0,"Giuliano Canella, register 6, 1418–1421, fol. 222r–v",1420-03-07,1420,"A certain Francesco Foglietta rents out the labour promised by the former Bulgarian slave Erena, who had been declared free by the sindicatores and had agreed to a term of service, to a certain Margarita de Castro, for --- years and --- lire.",Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Notai antichi 483,d40512e6-0879-4309-ae32-8bc8e12a7907,37783,Archivio di stato di Genova,3022cec0-26bf-4d31-b701-841a84eead7a,
Nicolosia de Loparaso,female,y,artefices,,,Paraso,1432–1457,f9007449-e5cf-4394-911a-82138bba226c,37265,Maria,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,32,1425–1457,747db288-ac68-4d91-85b2-86e0bdc1bc64,37683,Battista Stella,male,artefices,notarius,professionals,,1432–1457,1f260244-be4b-47f6-9ec8-3e6286ea0eb2,27660,10,80,,,,,,42,"Tommaso Duracino, filza 3, series I, nr. 297",1457-11-09,1457,"A certain Nicolosia de Campomorono rents the Russian slave Maria, who is 32 years of age, to the notary Battista Stella, for 10 years and 80 lire.",Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 890,d7974564-3893-43a3-b47c-d5a67e9d9411,37834,Archivio di stato di Genova,29c0d4db-9f29-4b63-a752-57bedb96e0b3,
Giovannina de Vigono,female,y,artefices,,,Vigone,1362–1387,403c8256-41be-4921-9448-f17401e75b82,37218,Andrea,Albanian,eff5f423-f260-4a5e-8a8b-42cdfc3b5f84,31272,male,8,1379–1387,26a23a9e-4937-447f-be4f-45120764d4ca,37626,Domenico Ricci,male,artefices,ortolanus,agricultural workers,,1362–1387,3668ebb1-77c6-4e50-8fef-67bc0b9e9524,37378,12,20,,,,,y,20,"Abazia di San Siro 1316–1653, entry dated 1387-10-02",1387-10-02,1387,"A certain Giovannina de Vigono, widow of Valente de Valente, leases out the Albanian slave Giorgio, who is 28 years of age, and his son, Andrea, who is 8 years of age, to a certain Domenico Ricci, for 8 and 12 years, respectively, and for 40 lire. At the end of the contract they are to be freed.", ,,,Archivio segreto 1527A,fa3e9a12-608a-4cc8-9cdb-92fe8589a005,37738,Archivio di stato di Genova,e7039a52-6e4e-43c8-a30b-1a5b706cb55c,
Giovannina de Vigono,female,y,artefices,,,Vigone,1362–1387,403c8256-41be-4921-9448-f17401e75b82,37218,Giorgio,Albanian,eff5f423-f260-4a5e-8a8b-42cdfc3b5f84,31272,male,28,1359–1387,9d29b2f6-4c75-437b-84c0-288382839d80,37625,Domenico Ricci,male,artefices,ortolanus,agricultural workers,,1362–1387,3668ebb1-77c6-4e50-8fef-67bc0b9e9524,37378,8,20,,,,,y,36,"Abazia di San Siro 1316–1653, entry dated 1387-10-02",1387-10-02,1387,"A certain Giovannina de Vigono, widow of Valente de Valente, leases out the Albanian slave Giorgio, who is 28 years of age, and his son, Andrea, who is 8 years of age, to a certain Domenico Ricci, for 8 and 12 years, respectively, and for 40 lire. At the end of the contract they are to be freed.", ,,,Archivio segreto 1527A,fa3e9a12-608a-4cc8-9cdb-92fe8589a005,37738,Archivio di stato di Genova,e7039a52-6e4e-43c8-a30b-1a5b706cb55c,
Argentina de Fravega,female,--,artefices,,,,1396–1421,a06eb3b8-a137-4509-a100-b57a18e1e38b,37141,Cristina,,,,female,26,1395–1421,63df7ce6-4931-4f54-8b57-0df79ec1fe04,37515,Giorgio de Rocha,male,artefices,bancalarius,wood workers,,1396–1421,597650c2-acc4-4fb0-a3b0-2853bb458b10,37400,5,50,,,,,y,31,"Giovanni Labaino, filza 2, nr. 192",1421,1421,"A certain Argentina de Fravega leases out the --- slave Cristina, who is 26 years of age, to a certain Giorgio de Rocha, bancalarius, for 5 years and 10 lire/year. At the end of the contract she is to be freed.",Giovanni Labaino,3e74de1c-121f-4d3d-acb1-5bc6fe40e09c,23813,Notai antichi 548,36625ae2-9c6d-4fd9-983f-cb4234946043,37791,Archivio di stato di Genova,7106654d-05f4-4fa4-b776-4d613c39c7e4,
Pellegro de Camulio,male,,artefices,draperius,wool workers,Camogli,1378–1403,7e72b768-777c-49c6-be4f-653bd80cfd3f,37277,an unnamed Tartaran,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,,40,1363–1403,a029fbc0-0de2-4ffa-b209-7a1ff05dab6e,37697,Agostino de Andoria,male,artefices,,,Andora,1378–1403,b9503b72-761a-433f-8643-2c17d2c29df3,37317,4,30,,,,,,44,"Giovanni de Allegro, register 2, 1400–1407, fol. 124v",1403,1403,"A certain Pellegro de Camulio, draperius, leases out the Tartaran slave ---, who is 40 years of age, to a certain Agostino de Andoria, for 4 years and 30 lire.",Giovanni de Allegro,bcb79a1a-c2e8-42f1-9f5a-38a143a67307,23058,Notai antichi 471,bc45c94e-a9f0-4947-94e2-f4556978c253,37781,Archivio di stato di Genova,856284b5-6511-4aa7-8a52-03af4a3f2ee9,
Fabiano de San Michele,male,,artefices,,,,1365–1390,17a60b31-9f5e-4ca5-a7af-3c06da29e7f9,37185,Maddalena,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,female,,–1390,450a2db3-77d4-45d7-8c91-45e96ce063f9,37577,Giovanni de Canali,male,artefices,,,Canale,1365–1390,7e28e06d-56b0-4ad2-bc60-e32b244e4b80,37405,4,40,,,,y,,4,"Benvenuto Bracelli, register 14, 1375–1390, fol. 108r–v",1390-02-18,1390,"A certain Fabiano di San Michele leases out the Tartaran slave Maddalena, who is --- years of age, and que habet lactem, to a certain Giovani Canale for 4 years and 40 lire. Epstein (SS, p. 136) notes the proximity to the median price of 60 lire for an enslaved famle around this time.",Benvenuto Bracelli,f4597603-1733-4169-90e7-0c647af8dfd4,37107,Notai antichi 294,24808039-9b3f-472b-b22f-450072e44a03,37774,Archivio di stato di Genova,34282b8d-9603-4f76-b69f-8048067b4d7a,
Battista de Sancto Nazario,male,,artefices,,,,1415–1440,8700cf9a-aae7-4caa-9e9f-6977169620c9,37159,Marta,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,,–1440,4b1f437b-71ea-4334-8d6c-406c02d352ba,37539,Bernardo de Capriata,male,artefices,seatarius,silk workers,Capriata,1415–1440,3fd7daa1-cd6a-4ccd-b055-42d13358e8c9,37362,3,66,,,,y,,3,"Andrea Testa, filza 2, series III, nr. 88",1440-06-03,1440,A certain Bernardo de Capriata returns to Battista de Santo Nazario a female slave that had been leased to him for wet-nursing (post locatio).,Andrea Testa,9b1061bc-2c1c-4e05-bf7e-ef1267c95116,37104,Notai antichi 686,20a34d0a-2650-4cd3-ae6f-dbd5d6155d29,37818,Archivio di stato di Genova,c5a7c289-d4fb-4b09-83b0-2c4583314875,
The heirs of Lorenzo Spotorno,male,,artefices,cultelerius,metal workers,,1404–1429,1b11f3f4-73f0-44a6-8807-8b740a627eaf,37296,Luna,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb223,31361,female,,–1429,3ab428ca-395b-4ded-b0e9-62aa70051089,37725,Bertone de Lavania,male,artefices,cultelerius,metal workers,Lavagna,1404–1429,ea9bd083-f9f8-40f2-b520-5987a6421913,37364,12,80,,,,,,12,"Antonio de Bonizo, filza 1, series I, nr. 127",1429-07-11,1429,"The deed describes that  the heirs of the cutler Lorenzo Spotorno loaned the Circassian slave Luna to the Ospedale de Scalo, represented by the cutler Bertone di Lavagna, for 80 lire and a period of 12 years. The slave was guaranteed «nitidam sanam et ab omnibus et vitiis magagnis occultis et manifestis.»",Antonio de Bonizo,97f22845-853e-47c6-9974-bc541bb6948c,37105,Notai antichi 340,a57cc8c2-9a29-4198-aa8e-319399c3b97f,37776,Archivio di stato di Genova,1b1dae94-8a84-44a2-878f-23cb36affa84,
Oberto de Sancta Agnete,male,,artefices,bancalarius,wood workers,,1414–1439,bb2ccee5-76dc-4082-b816-a0dc4a8764f3,37267,Luchina,,,,female,14,1425–1439,74d46a09-5482-4bda-9be2-d5dd06b1b8c7,37685,Andrea de Petra,male,artefices,lanerius,wool workers,Pietra Ligure,1414–1439,d0d48646-9d3c-4491-86da-89cdd5a23f14,37326,8,31,,,,,,22,"Branca Bagnara, filza 5, series II, nr. 80",1439-03-11,1439,"A certain Oberto de Sancta Agnete, bancalarus, leases out the --- slave Luchina, who is 14 years of age, to a certain Andrea de Petra, lanerius, for 8 years and 31 lire.",Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 652,58b03b35-a8b7-4660-9423-53cf3d8514b6,37814,Archivio di stato di Genova,76aa7e7d-8b33-4185-95bb-4a2a362c30c5,
